Informercado;Planilha;Colunas;Referencia Antiga;Mapeado
Dados Gerais;ACL_EOL;MES_REFERENCIA;019 Eólicas;NÃO
Dados Gerais;ACL_EOL;GERACAO_ACL_EOL;019 Eólicas;NÃO
Dados Gerais;ACL_EOL;CAPACIDADE_INSTALADA_TOTAL_ACL_EOL;019 Eólicas;NÃO
Dados Gerais;ACL_EOL;GARANTIA_FISICA_ACL_EOL;019 Eólicas;NÃO
Dados Gerais;AGENTE_QTD_CONTABILIZACAO;MES_REFERENCIA;Demais Dados;NÃO
Dados Gerais;AGENTE_QTD_CONTABILIZACAO;CLASSE;Demais Dados;NÃO
Dados Gerais;AGENTE_QTD_CONTABILIZACAO;QUANTIDADE_AGENTE_CONTABILIZACAO;Demais Dados;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;MES_REFERENCIA;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;EXPOSICAO_FINANCEIRA_POSITIVA;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;EXPOSICAO_FINANCEIRA_NEGATIVA;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;TOTAL_PENALIDADE_EF_NEGATIVA;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;TOTAL_RECURSO_DISP_ALIVIO_EF_CCEAR;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;COBERTURA_EXPOSICAO_NEGATIVA_CCEAR;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;TOTAL_EXPOSICAO_NEGATIVA_REM_CCEAR;012 InfoDistribuidoras;NÃO
Dados Gerais;ALIVIO_PENALIDADE_DISTRIB_MENSAL;TOTAL_RECURSO_DISP_RATEIO_COMPR_CCEAR;012 InfoDistribuidoras;NÃO
Dados Gerais;BIOMASSA_ACL;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_ACL;GERACAO_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_ACL;CAPACIDADE_INSTALADA_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_ACL;GARANTIA_FISICA_BIOMASSA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_FONTE_GERACAO;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_FONTE_GERACAO;FONTE_SECUNDARIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_FONTE_GERACAO;GERACAO_BIO;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GERACAO_ACR_ACL_MODALIDADE;MES_REFERENCIA;020 Biomassa;NÃO
Dados Gerais;BIOMASSA_GERACAO_ACR_ACL_MODALIDADE;MODALIDADE_ENERGIA;020 Biomassa;NÃO
